ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
NHCI.NH,20190731,1493.6558,1494.316,1500.1194,1493.4624,1494.316,-0.6603,-0.0004,22948960,24933414
NHCI.NH,20190730,1494.316,1485.7063,1500.1365,1485.7063,1485.7063,8.6097,0.0058,18320844,21050110
NHCI.NH,20190729,1485.7063,1485.7063,1491.0398,1484.785,1490.8565,-5.1502,-0.0035,16859252,20803552
NHCI.NH,20190726,1490.8565,1485.9175,1491.8488,1483.9889,1485.9175,4.939,0.0033,20532804,20927790
NHCI.NH,20190725,1485.9175,1483.3013,1487.5564,1483.0659,1483.3013,2.6162,0.0018,23983830,24880756
NHCI.NH,20190724,1483.3013,1489.8243,1489.4236,1477.6852,1489.8243,-6.5231,-0.0044,28442550,24647742
NHCI.NH,20190723,1489.8243,1493.493,1497.817,1489.6979,1493.493,-3.6687,-0.0025,23149852,24778424
NHCI.NH,20190722,1493.493,1513.8026,1514.2972,1493.493,1510.3342,-16.8412,-0.0112,32922344,24381456
NHCI.NH,20190719,1510.3342,1504.4083,1510.7058,1498.3184,1504.4083,5.9259,0.0039,24902214,24324756
NHCI.NH,20190718,1504.4083,1505.4181,1509.7507,1503.4048,1505.4181,-1.0098,-0.0007,20829390,20601758
NHCI.NH,20190717,1505.4181,1506.4746,1506.8038,1498.6397,1506.4746,-1.0565,-0.0007,25354306,24186378
NHCI.NH,20190716,1506.4746,1506.4869,1509.3295,1503.0949,1506.4869,-0.0123,0.0,23765786,24126558
NHCI.NH,20190715,1506.4869,1491.693,1506.6906,1491.1875,1491.693,14.794,0.0099,25536046,23832850
NHCI.NH,20190712,1491.693,1496.2368,1496.5187,1489.7325,1496.2368,-4.5438,-0.003,24384326,23822756
NHCI.NH,20190711,1496.2368,1489.1118,1500.0768,1489.5062,1489.1118,7.125,0.0048,28049356,23557812
NHCI.NH,20190710,1489.1118,1485.7763,1489.9993,1482.0354,1485.7763,3.3356,0.0022,26466108,23450670
NHCI.NH,20190709,1485.7763,1490.3792,1499.6235,1482.7025,1490.3792,-4.6029,-0.0031,30970196,23425212
NHCI.NH,20190708,1490.3792,1480.9076,1492.7533,1480.9076,1480.9076,9.4716,0.0064,28509480,23180426
NHCI.NH,20190705,1480.9076,1487.4418,1490.8043,1475.3295,1489.8379,-8.9303,-0.006,29754844,23048592
NHCI.NH,20190704,1489.8379,1490.5872,1500.5189,1489.582,1490.5872,-0.7493,-0.0005,23925554,23319568
NHCI.NH,20190703,1490.5872,1498.4078,1498.221,1484.6174,1498.4078,-7.8207,-0.0052,32906836,23484674
